event,elapsed_sec,unix_sec,cloud_count,cloud_gap_sec,cloud_frame_id,eth0_rx_bytes,eth0_rx_packets,eth0_rx_errors,eth0_rx_dropped,eth0_tx_bytes,eth0_tx_packets,eth0_tx_errors,eth0_tx_dropped,eth1_rx_bytes,eth1_rx_packets,eth1_rx_errors,eth1_rx_dropped,eth1_tx_bytes,eth1_tx_packets,eth1_tx_errors,eth1_tx_dropped
counter_sample,1.057761,1786176864.646139,0,,,1462642720,1287553,0,0,5955663,29565,0,0,0,0,0,0,0,0,0,0
counter_sample,2.058026,1786176865.646409,9,,base_link,1462733288,1287671,0,0,5956447,29573,0,0,0,0,0,0,0,0,0,0
counter_sample,3.059081,1786176866.647456,18,,base_link,1462826866,1287784,0,0,5956701,29576,0,0,0,0,0,0,0,0,0,0
counter_sample,4.058911,1786176867.647289,23,,base_link,1462873536,1287845,0,0,5958041,29582,0,0,0,0,0,0,0,0,0,0
counter_sample,5.059629,1786176868.648004,33,,base_link,1462962816,1287941,0,0,5958485,29588,0,0,0,0,0,0,0,0,0,0
counter_sample,6.058759,1786176869.647138,40,,base_link,1463028770,1288020,0,0,5958929,29594,0,0,0,0,0,0,0,0,0,0
counter_sample,7.057697,1786176870.646072,49,,base_link,1463109664,1288107,0,0,5960333,29600,0,0,0,0,0,0,0,0,0,0
counter_sample,8.057759,1786176871.646134,58,,base_link,1463192886,1288222,0,0,5961377,29606,0,0,0,0,0,0,0,0,0,0
counter_sample,9.057744,1786176872.646121,65,,base_link,1463258770,1288302,0,0,5961801,29610,0,0,0,0,0,0,0,0,0,0
counter_sample,10.057708,1786176873.646086,74,,base_link,1463341634,1288398,0,0,5963629,29620,0,0,0,0,0,0,0,0,0,0
counter_sample,11.057635,1786176874.646012,81,,base_link,1463405288,1288471,0,0,5963841,29622,0,0,0,0,0,0,0,0,0,0
counter_sample,12.058355,1786176875.646730,90,,base_link,1463487694,1288558,0,0,5964053,29624,0,0,0,0,0,0,0,0,0,0
counter_sample,13.057858,1786176876.646233,96,,base_link,1463544320,1288627,0,0,5965457,29630,0,0,0,0,0,0,0,0,0,0
counter_sample,14.057692,1786176877.646067,101,,base_link,1463592682,1288692,0,0,5965775,29633,0,0,0,0,0,0,0,0,0,0
counter_sample,15.058220,1786176878.646594,110,,base_link,1463674602,1288780,0,0,5966093,29636,0,0,0,0,0,0,0,0,0,0
counter_sample,16.057847,1786176879.646222,117,,base_link,1463742618,1288886,0,0,5968223,29645,0,0,0,0,0,0,0,0,0,0
